MasterID,date,mean.svl,bci,next.bci
358,4/26/2014,74,0.327645351,-0.32513641
906,5/9/2014,59.4,-0.166145189,-0.223336754
585,9/13/2014,45.2,0.32612147,0.07877911
38,10/14/2014,50.7,0.545871888,0.123082026
172,10/14/2014,58.3,0.196324909,0.003047099
587,10/14/2014,47.2,0.065374362,-0.624562755
857,10/14/2014,56.7,0.076815384,-0.017451422
618,10/26/2014,53.3,0.23347229,0.313329788
620,10/26/2014,58.2,-0.235092518,-0.181508261
918,10/26/2014,51.3,-0.156048548,0.182587141
621,10/26/2014,41.1,0.021255656,0.038350089
621,10/27/2014,41.1,0.038350089,0.158415445
623,10/27/2014,52.2,-0.093275515,0.0230626
620,10/27/2014,58.3,-0.181508261,-0.355117066
207,10/27/2014,59.1,0.221498664,0.137200194
645,10/28/2014,50.2,-0.066934674,0.284369547
646,10/28/2014,51.5,-0.341799636,-0.832045861
647,10/28/2014,47.5,-0.33775089,-0.489346592
593,10/29/2014,58.2,-0.145861384,-0.332193296
594,10/29/2014,50,-0.297238225,-0.344368134
908,10/29/2014,56.7,-0.063470256,0.601971208
596,10/29/2014,56.2,-0.16500936,-0.117034127
597,10/29/2014,49.8,0.022980209,0.067714218
660,10/29/2014,54.2,-0.156777566,-0.168185451
661,10/29/2014,51.9,-0.325621975,-0.25205947
20,10/30/2014,69.65,0.061424047,0.087176543
599,10/30/2014,39.9,0.279708336,-0.138357839
600,10/30/2014,49.4,0.037894717,0.26534251
859,10/30/2014,55.7,0.061563675,-0.114615706
913,10/30/2014,53.2,-0.211580991,-0.118487013
601,10/30/2014,54.5,0.033549755,0.20515179
602,10/30/2014,46.6,-0.143182029,-0.065252012
603,10/30/2014,54,-0.395012113,-0.175942502
604,10/30/2014,48.5,-0.171257851,-0.099032643
605,10/30/2014,47,-0.255138763,-0.157096444
606,10/30/2014,54,-0.274059502,-0.171028487
607,10/30/2014,48.7,-0.295336101,-0.314327634
609,10/30/2014,57,-0.168926373,0.145428249
611,10/30/2014,52.4,-0.11420564,0.132029977
612,10/30/2014,53.9,0.052525179,0.087339686
181,10/30/2014,62.2,-0.088390119,-0.077136817
614,10/30/2014,51.8,-0.26377891,-0.203587378
624,10/30/2014,54.2,-0.283428805,-0.301811847
625,10/30/2014,55.1,-0.162439024,-0.259110874
626,10/30/2014,49.2,-0.239141728,-0.216314692
627,10/30/2014,50.6,-0.119009699,-0.179455189
915,10/30/2014,54.3,-0.413839345,0.572919224
910,10/30/2014,50.35,-0.172967175,-0.195851468
315,10/30/2014,73.3,-0.012938884,-0.210191049
628,10/30/2014,52.1,-0.197790156,0.124147942
629,10/30/2014,40.5,0.208428257,-0.153265634
630,10/30/2014,47,0.070602871,0.167600872
631,10/30/2014,48.8,-0.030457642,-0.390993647
633,10/30/2014,46.8,-0.002147378,-0.230659624
634,10/30/2014,52.3,0.090092065,-0.164149641
635,10/30/2014,47.4,0.112244778,0.083892338
638,10/30/2014,51.2,0.17901076,-0.123985008
642,10/30/2014,50.8,-0.136889691,-0.334777833
643,10/30/2014,47.1,-0.034383651,-0.211867909
650,10/30/2014,46.5,0.11456073,0.300053419
107,10/30/2014,58.8,0.488215664,-0.273658498
652,10/30/2014,45.4,0.170148693,-0.148366363
653,10/30/2014,58.3,0.23645701,-0.058899961
311,10/30/2014,53.6,0.630989002,0.439473369
267,10/30/2014,67,0.484060292,-0.201939546
585,10/30/2014,51.5,0.07877911,0.06155527
654,10/30/2014,49.6,-0.142367446,-0.159933108
657,10/30/2014,48.8,-0.141931508,0.005831314
658,10/30/2014,49.7,-0.170041615,-0.151676377
908,10/30/2014,43.5,0.601971208,-0.106609941
659,10/30/2014,47,-0.177752099,0.287306195
310,10/30/2014,65,0.180320379,0.044338589
663,10/30/2014,46.6,-0.253791901,-0.309865745
